Horários,Segunda,Terça,Quarta,Quinta,Sexta
07h00-07h55,,,,,
07h55-08h50,Tópicos em Ciência de Dados.2,,Redes Complexas.2,,
08h50-09h45,Tópicos em Ciência de Dados.2,,Redes Complexas.2,,
10h10-11h05,,,,,
11h05-12h00,,,,,
13h30-14h25,,Metaheurísticas para Problemas de Otimização.1,,,Tópicos em Ciência de Dados.1
14h25-15h20,,Metaheurísticas para Problemas de Otimização.1,,,Tópicos em Ciência de Dados.1
15h45-16h40,,Metaheurísticas para Problemas de Otimização.2,,Redes Complexas.1,
16h40-17h35,,Metaheurísticas para Problemas de Otimização.2,,Redes Complexas.1,
17h35-18h30,,,,,
19h00-19h50,,,,,
19h50-20h40,,,,,
21h00-21h50,,,,,
21h50-22h40,,,,,
22h40-23h30,,,,,
