Horários,Segunda,Terça,Quarta,Quinta,Sexta
07h00-07h55,,,,,
07h55-08h50,Banco de Dados I.2,Computação Orientada a Objetos II.1,Análise de Investimentos em Informática,Computação Orientada a Objetos II.2,
08h50-09h45,Banco de Dados I.2,Computação Orientada a Objetos II.1,Análise de Investimentos em Informática,Computação Orientada a Objetos II.2,
10h10-11h05,,,Análise de Investimentos em Informática,,Redes de Computadores.2
11h05-12h00,,,Linguagens Formais e Autônomas.2,,Redes de Computadores.2
13h30-14h25,Redes de Computadores.1,,Linguagens Formais e Autônomas.1,,Engenharia de Software II.1
14h25-15h20,Redes de Computadores.1,,Linguagens Formais e Autônomas.1,,Engenharia de Software II.1
15h45-16h40,,Engenharia de Software II.2,Banco de Dados I.1,Análise e Projeto de Algoritmos II,
16h40-17h35,,Engenharia de Software II.2,Banco de Dados I.1,Análise e Projeto de Algoritmos II,
17h35-18h30,,,,Análise e Projeto de Algoritmos II,
19h00-19h50,,,,,
19h50-20h40,,,,,
21h00-21h50,,,,,
21h50-22h40,,,,,
22h40-23h30,,,,,
